date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,death,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease,hospitalizedIncrease
20210204,FL,1720760,304561.0,8551797.0,7504.0,totalTestEncountersViral,19474886,5607.0,74721.0,,,,,,A,2/3/2021 23:59,27698,17291642.0,2246336.0,14964527.0,1416199.0,,,19474886.0,10272557.0,650372.0,71851.0,578113.0,630838.0,69600.0,560932.0,,,,,12,8434,68280,226,338
20210204,GA,928070,164993.0,,,totalTestsViral,6561635,4239.0,51247.0,,8511.0,,,,A+,2/4/2021 14:50,14756,6561635.0,733538.0,,763077.0,13048.0,1708.0,,,449321.0,62937.0,,,,,,,,,13,5706,37412,169,294
20210204,GU,7622,207.0,101197.0,,posNeg,108819,5.0,,2.0,,2.0,,7410.0,B,2/4/2021 03:30,129,108612.0,,,7415.0,,,,,343.0,22.0,,,,,,,8333.0,270.0,66,4,450,0,0
20210204,HI,26852,665.0,,,totalTestEncountersViral,983021,57.0,2103.0,19.0,,12.0,,,B,2/2/2021 14:30,416,,25764.0,,26187.0,,,983021.0,,,,,,,,,,,,15,106,4120,2,7
20210204,IA,269984,,992449.0,,posNeg,1262433,360.0,,77.0,,31.0,,289989.0,A+,2/4/2021 00:00,5033,2527503.0,292520.0,2221735.0,269984.0,,,,1264787.0,,,,103285.0,14854.0,88383.0,221403.0,52725.0,1165803.0,56018.0,19,700,2248,58,0
20210204,ID,164163,30532.0,475265.0,,totalTestsPeopleViral,608896,203.0,6749.0,47.0,1181.0,,,84159.0,A,2/3/2021 19:00,1748,1002998.0,,,133631.0,1534.0,214.0,,608896.0,,,,,,,,,78973.0,,16,507,1781,7,17
20210204,IL,1137559,,15222096.0,,posNeg,16359655,2341.0,,513.0,,265.0,,,A,2/4/2021 00:00,21497,16359655.0,,,,19444.0,2053.0,,,,,,,,,,,,,17,3328,101307,77,0
20210204,IN,633690,,2349336.0,,totalTestsViral,7150804,1541.0,40774.0,331.0,7135.0,175.0,,412819.0,A+,2/3/2021 23:59,11637,7150804.0,720786.0,,,11231.0,406.0,,2983026.0,,,,,,,,,,,18,2359,54480,1546,107
20210204,KS,278915,,907934.0,,posNeg,1186849,526.0,8578.0,129.0,2333.0,52.0,411.0,5810.0,A+,2/3/2021 10:00,3895,2248082.0,,,,,,,1186849.0,,,,,,,,,,,20,0,0,0,0
20210204,KY,372012,82012.0,,,totalTestsViral,3653551,1340.0,17170.0,368.0,3639.0,171.0,,44394.0,A+,2/4/2021 00:00,3921,3653551.0,232232.0,,290000.0,3576.0,345.0,,,108691.0,8700.0,,,,,,,376312.0,31995.0,21,2493,17862,58,160
