agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,rev_code,sub_type
UNAIDS,UNAIDS,2018,8387,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,-60496,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,170680,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,71532,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,3640777,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,3529412,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,843644,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,3770739,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,116550,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,35388374,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,500000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,10471204,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,102180,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,18758471,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,1334487,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,91609,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,200000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,456000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,651803,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,100772,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,1500000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,1435455,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,11000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,357471,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
UNAIDS,UNAIDS,2018,600000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,50000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,25075,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,5194139,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,185415,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNAIDS,UNAIDS,2018,2628845,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,154321,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,2779700,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
UNAIDS,UNAIDS,2018,8178276,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
PAHO,PAHO,2018,103225007,Assessed contributions,Assessed contributions,R01,R01
PAHO,PAHO,2018,56840095,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
PAHO,PAHO,2018,461438970,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
PAHO,PAHO,2018,702615813,Revenue from other activities,Revenue from other activities,R04,R04
DPKO,UN-DPKO,2018,7285707767,Assessed contributions,Assessed contributions,R01,R01
DPKO,UN-DPKO,2018,96051000,Revenue from other activities,Revenue from other activities,R04,R04
DPKO,UN-DPKO,2018,24844005.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
DPKO,UN-DPKO,2018,337695835.2,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ITC,ITC,2018,37359666,Assessed contributions,Assessed contributions,R01,R01
ITC,ITC,2018,27877540,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
ITC,ITC,2018,2170305,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
ITC,ITC,2018,48082532,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ITC,ITC,2018,2778994,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03,R03F
ITC,ITC,2018,1842857,Revenue from other activities,Revenue from other activities,R04,R04
WIPO,WIPO,2018,17589965.55,Assessed contributions,Assessed contributions,R01,R01
WIPO,WIPO,2018,11758040.84,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
WIPO,WIPO,2018,406887107.5,Revenue from other activities,Revenue from other activities,R04,R04
OPCW,OPCW,2018,71134824.2,Assessed contributions,Assessed contributions,R01,R01
OPCW,OPCW,2018,13821542.24,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
OPCW,OPCW,2018,2735315.068,Revenue from other activities,Revenue from other activities,R04,R04
UNITAID,UNITAID,2018,188138000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02,R02A
UNITAID,UNITAID,2018,2426000,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03,R03C
UNITAID,UNITAID,2018,100000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ICAO,ICAO,2018,5670769.963,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
ICAO,ICAO,2018,73216846.15,Assessed contributions,Assessed contributions,R01,R01
ICAO,ICAO,2018,317606.5934,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
ICAO,ICAO,2018,1003157.509,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
ICAO,ICAO,2018,127785755.3,Local resources,Voluntary non-core (earmarked) contributions,R03,R03D
ICAO,ICAO,2018,27531509.16,Revenue from other activities,Revenue from other activities,R04,R04
FAO,FAO,2018,57472751.86,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03,R03A
FAO,FAO,2018,73453485.44,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03,R03B
FAO,FAO,2018,792181719.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03,R03E
FAO,FAO,2018,498851849.5,Assessed contributions,Assessed contributions,R01,R01
