Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
Kyrgyzstan,V,Individual accomm.,Talas : Oblast - Region,2480,0,0,0,0,0.65,0.35,..,..,..,..,0.54,0.57,..,0.55,2480,1.0,1.0
Kyrgyzstan,V,Individual accomm.,Ysyk-kol : Oblast - Region,1900,0,0,0,0,0.65,0.35,..,..,..,..,0.54,0.58,..,0.55,1900,1.0,1.0
Latvia,V,Individual accomm.,Latvia : Dispersed in the country / territory,312362,..,..,..,..,..,..,..,..,..,..,..,..,..,..,312362,0.0,0.0
Lebanon,U,Individual accomm.,Beyrouth : Qadaa - District,1297,0.09,0.11,0.05,0.25,0.73,0.02,0.4,0.47,0.41,0.43,0.26,0,1,0.31,1297,0.99,1.0
Lebanon,U,Individual accomm.,Lebanon : Dispersed in the country / territory,606,0.13,0.19,0.07,0.39,0.6,0.01,0.42,0.47,0.45,0.45,0.39,0,1,0.41,606,0.99,1.0
Lebanon,U,Individual accomm.,Liban Nord : Mohafazat - Governorates,5037,0.19,0.19,0.14,0.53,0.46,0.01,0.46,0.5,0.48,0.48,0.5,0,1,0.49,5037,0.99,1.0
Lebanon,U,Individual accomm.,Liban Sud : Mohafazat - Governorates,685,0.14,0.17,0.09,0.4,0.59,0.01,0.41,0.45,0.5,0.45,0.22,0,1,0.31,685,1.0,1.0
Lebanon,U,Individual accomm.,Mont Liban : Mohafazat - Governorates,7485,0.11,0.12,0.09,0.32,0.66,0.02,0.47,0.47,0.46,0.47,0.36,0,1,0.4,7485,0.98,1.0
Liberia,R,Camp,Bahn,5021,0.21,0.23,0.11,0.55,0.41,0.04,0.5,0.51,0.46,0.49,0.53,0.45,..,0.51,5021,1.0,1.0
Liberia,R,Camp,Dougee,6720,0.19,0.27,0.14,0.6,0.36,0.04,0.52,0.45,0.39,0.46,0.57,0.73,..,0.51,6720,1.0,1.0
Liberia,R,Camp,Little Wlebbo,4017,0.19,0.12,0.39,0.7,0.27,0.02,0.52,0.51,0.57,0.55,0.51,0.58,..,0.54,4017,1.0,1.0
Liberia,R,Camp,PTP,4396,0.21,0.24,0.11,0.56,0.41,0.02,0.5,0.46,0.43,0.47,0.53,0.58,..,0.5,4396,1.0,1.0
Liberia,R,Camp,Saclepea,1822,0.1,0.24,0.15,0.49,0.47,0.04,0.49,0.5,0.46,0.48,0.47,0.48,..,0.48,1822,1.0,1.0
Liberia,R,Camp,Solo,7284,0.21,0.25,0.12,0.58,0.39,0.03,0.49,0.47,0.41,0.47,0.54,0.57,..,0.5,7284,1.0,1.0
Liberia,R,Camp,Ziah,2912,0.21,0.27,0.15,0.62,0.36,0.02,0.5,0.51,0.53,0.51,0.58,0.72,..,0.54,2912,1.0,1.0
