Country/territory of asylum/residence,Type of location,Type of accommodation,Name of location,Population of concern to UNHCR at location end 2011,Share of age group in total 0-4,Share of age group in total 5-11,Share of age group in total 12-17,Share of age group in total <18,Share of age group in total 18-59,Share of age group in total 60+>,Percentage of female per age group 0-4,Percentage of female per age group 5-11,Percentage of female per age group 12-17,Percentage of female per age group <18,Percentage of female per age group 18-59,Percentage of female per age group 60+>,Percentage of female per age group Var.,Percentage of female per age group Total,Coverage Age/sex,Coverage Sex only,Unnamed: 21
United Rep. of Tanzania,R,Camp,Nyarugusu : Point,63551,0.18,0.22,0.17,0.57,0.4,0.03,0.49,0.5,0.5,0.5,0.55,0.54,..,0.52,63551,1.0,1.0
United Rep. of Tanzania,R,Individual accomm.,Kigoma villages,22227,0.16,0.2,0.18,0.53,0.43,0.04,0.5,0.48,0.5,0.49,0.48,0.47,..,0.48,22227,1.0,1.0
United Rep. of Tanzania,R,Settlement,Katumba : Point,65431,0.11,0.24,0.18,0.53,0.43,0.04,0.49,0.5,0.53,0.51,0.52,0.5,..,0.51,65431,1.0,1.0
United Rep. of Tanzania,R,Settlement,Mishamo : Point,54233,0.13,0.24,0.17,0.54,0.42,0.04,0.5,0.5,0.55,0.52,0.51,0.48,..,0.51,54233,1.0,1.0
United Rep. of Tanzania,R,Settlement,Ulyankulu : Point,49307,0.12,0.27,0.17,0.56,0.41,0.03,0.51,0.51,0.48,0.5,0.52,0.57,..,0.51,49307,1.0,1.0
United Rep. of Tanzania,U,Settlement,Chogo : Point,1530,0.27,0.22,0.18,0.66,0.3,0.04,0.57,0.52,0.55,0.55,0.62,0.54,..,0.57,1530,1.0,1.0
United States,U,Undefined,United States : Dispersed in the country / territory,267842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,267842,0.0,0.0
Venezuela (Bolivarian Republic of),U,Individual accomm.,Caracas : Point,1846,0.06,0.09,0.1,0.25,0.72,0.03,0.41,0.41,0.44,0.42,0.39,0.3,..,0.4,1846,1.0,1.0
Venezuela (Bolivarian Republic of),V,Individual accomm.,Amazonas : Estado - State,3650,0.01,0.08,0.11,0.2,0.79,0.01,1,0.45,0.36,0.42,0.51,1,0.48,0.48,3650,0.04,1.0
Venezuela (Bolivarian Republic of),V,Individual accomm.,Apure : Point,19293,0.15,0.2,0.17,0.53,0.43,0.04,0.44,0.5,0.51,0.49,0.47,0.4,0.48,0.48,19293,0.21,1.0
Venezuela (Bolivarian Republic of),V,Individual accomm.,Tachira : Point,48162,0.16,0.19,0.2,0.55,0.42,0.03,0.5,0.47,0.47,0.48,0.43,0.51,0.48,0.48,48162,0.13,1.0
Venezuela (Bolivarian Republic of),V,Individual accomm.,Venezuela : Dispersed in the country / territory,84904,0.05,0.12,0.17,0.34,0.63,0.03,0.45,0.45,0.49,0.47,0.46,0.41,0.48,0.48,84904,0.02,1.0
Venezuela (Bolivarian Republic of),V,Individual accomm.,Zulia : Point,61536,0.15,0.17,0.18,0.5,0.47,0.03,0.43,0.41,0.54,0.46,0.48,0.35,0.47,0.47,61536,0.08,1.0
Viet Nam,R,Camp,Binh Duong : Region,847,..,..,..,..,..,..,..,..,..,..,..,..,0.53,0.53,847,0.0,1.0
Viet Nam,U,Individual accomm.,Ho Chi Minh City : Region,7200,..,..,..,..,..,..,..,..,..,..,..,..,0.51,0.51,7200,0.0,1.0
Viet Nam,V,Individual accomm.,Viet Nam : Dispersed in the country / territory,3000,..,..,..,..,..,..,..,..,..,..,..,..,1,1,3000,0.0,1.0
Yemen,R,Camp,Al Kharaz : Point,16904,0.18,0.22,0.14,0.54,0.45,0.01,0.47,0.5,0.52,0.49,0.54,0.48,..,0.51,16904,1.0,1.0
Yemen,R,Camp,Hajjah : Muhafazah - Governorate,12075,0.07,0.3,0.2,0.57,0.4,0.03,0.48,0.47,0.45,0.47,0.54,0.46,..,0.5,12075,1.0,1.0
Yemen,R,Individual accomm.,Yemen : Dispersed in the country / territory,109885,0.01,0.02,0.09,0.12,0.88,0,0.56,0.37,0.31,0.35,0.27,0.59,..,0.28,109885,1.0,1.0
Yemen,U,Individual accomm.,Aden : Point,140532,0.06,0.24,0.16,0.47,0.51,0.02,0.49,0.48,0.47,0.48,0.45,0.49,..,0.46,140532,1.0,1.0
Yemen,U,Individual accomm.,Mahra : Point,1694,0.18,0.13,0.06,0.38,0.61,0.01,0.49,0.51,0.51,0.5,0.31,0.41,..,0.38,1694,1.0,1.0
Yemen,U,Individual accomm.,Mukalla : Point,8107,0.12,0.13,0.08,0.33,0.64,0.02,0.52,0.51,0.52,0.52,0.32,0.45,..,0.39,8107,1.0,1.0
Yemen,U,Individual accomm.,Sana'a : Point,77156,0.09,0.21,0.14,0.44,0.54,0.02,0.47,0.46,0.45,0.46,0.5,0.48,..,0.48,77156,1.0,1.0
Yemen,U,Individual accomm.,Taiz : Point,1753,0.1,0.17,0.15,0.43,0.53,0.04,0.45,0.54,0.54,0.52,0.64,0.63,..,0.59,1753,1.0,1.0
Yemen,V,Individual accomm.,Al Jawf : Muhafazah - Governorate,3430,0.07,0.3,0.2,0.57,0.4,0.03,0.49,0.49,0.47,0.48,0.56,0.48,..,0.51,3430,1.0,1.0
Yemen,V,Individual accomm.,Al-Bayda: Muhafazah - Governorate,959,0.07,0.3,0.2,0.57,0.41,0.03,0.49,0.5,0.48,0.49,0.57,0.48,..,0.52,959,1.0,1.0
Yemen,V,Individual accomm.,Amran : Muhafazah - Governorate,40452,0.07,0.3,0.2,0.57,0.4,0.03,0.49,0.49,0.47,0.48,0.56,0.48,..,0.51,40452,1.0,1.0
Yemen,V,Individual accomm.,Hadramout: Muhafazah - Governorate,1233,0.07,0.3,0.2,0.57,0.4,0.03,0.46,0.46,0.44,0.45,0.53,0.45,..,0.48,1233,1.0,1.0
Yemen,V,Individual accomm.,Hajjah : Muhafazah - Governorate,90271,0.07,0.3,0.2,0.57,0.4,0.03,0.47,0.46,0.44,0.46,0.53,0.45,..,0.49,90271,1.0,1.0
Yemen,V,Individual accomm.,"S,adah : Muhafazah - Governorate",65024,0.07,0.3,0.2,0.57,0.41,0.03,0.49,0.49,0.47,0.48,0.55,0.48,..,0.51,65024,1.0,1.0
Yemen,V,Individual accomm.,Shabwa : Muhafazah - Governorate,2107,0.07,0.3,0.2,0.57,0.41,0.03,0.51,0.51,0.49,0.51,0.58,0.5,..,0.54,2107,1.0,1.0
Zambia,R,Settlement,Mayukwayukwa : Point,9446,0.18,0.23,0.18,0.59,0.37,0.04,0.5,0.51,0.5,0.5,0.51,0.34,..,0.5,9446,1.0,1.0
Zambia,R,Settlement,Meheba : Point,17531,0.19,0.24,0.2,0.63,0.33,0.03,0.51,0.51,0.43,0.48,0.49,0.47,..,0.49,17531,1.0,1.0
Zambia,U,Individual accomm.,Lusaka Urban : Point,5252,0.11,0.16,0.14,0.4,0.58,0.02,0.49,0.53,0.48,0.5,0.36,0.29,..,0.42,5252,1.0,1.0
Zambia,V,Settlement,Zambia : Dispersed in the country / territory,14424,0.08,0.24,0.15,0.47,0.47,0.06,0.51,0.51,0.51,0.51,0.45,0.38,..,0.47,14424,0.86,0.86
Zimbabwe,R,Camp,Tongogara : Point,4819,0.15,0.24,0.17,0.56,0.44,0.01,0.5,0.46,0.45,0.47,0.39,0.54,..,0.44,4819,1.0,1.0
Zimbabwe,U,Individual accomm.,Harare : District,1040,0.14,0.2,0.2,0.55,0.44,0.01,0.49,0.5,0.46,0.48,0.4,0.4,..,0.44,1040,1.0,1.0
