Origin,Country/territory of asylum,Population start 2011,of whom UNHCR-assisted,Spontaneous arrivals Group recognition,Spontaneous arrivals Individual recognition,Resettlement arrivals,Births,Other increases,Total,Voluntary repatriation total,of whom UNHCR-assisted.1,Resettlement total,of whom UNHCR-assisted.2,Cessation,Naturalization,Deaths,Other decreases,Total.1,Population end 2011,of whom UNHCR-assisted.3
The former Yugoslav Republic of Macedonia,Germany,6035,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5982,0
Tibetan,Nepal,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0
Togo,Benin,5912,5912,0,0,0,69,0,69,64,64,24,24,0,0,10,0,98,5883,5883
Turkey,France,11009,0,0,291,0,0,0,291,0,0,0,0,0,0,0,0,0,10885,0
Turkey,Germany,97908,0,0,157,0,0,0,157,0,0,0,0,0,0,0,0,0,92968,0
Turkey,Iraq,15606,15606,0,0,0,0,0,0,0,0,0,0,0,0,4,519,523,15083,15083
Turkey,United Kingdom,6172,0,0,76,0,0,0,76,0,0,0,0,0,0,0,0,0,5776,0
Ukraine,Germany,19398,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,19922,0
Uzbekistan,Kyrgyzstan,2021,521,0,115,0,0,3550,3665,0,0,26,26,0,0,0,0,26,5660,1660
Venezuela (Bolivarian Republic of),United States,5675,0,0,638,0,0,0,638,0,0,0,0,0,0,0,0,0,6441,0
Viet Nam,China,300897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300897,1
Viet Nam,France,8719,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,8654,0
Viet Nam,Germany,24918,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,24261,0
Western Sahara,Algeria,90000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,90000
Western Sahara,Mauritania,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,0
Zimbabwe,United Kingdom,14819,0,0,470,0,0,0,470,0,0,0,0,0,0,0,0,0,15118,0
